"","X","Degree","Centrality","Closeness","Betweenness","Nodo.aislado","Estar.NCG"
"30","TM4SF1",0.7375,0.76057098164078,0.99316536345207,0,0,0
"31","AKR1C2",0.0875,0.0136366365077754,0.945476388503835,0.000306184935701164,0,0
"32","ANXA3",0.675,0.488630655427571,0.990261615911529,0,0,0
"33","RPS4Y1",0,0,0,0,1,0
"34","ESRP1",0.475,0.181882019544586,0.984180790960451,0.0240355174525413,0,0
"35","AMIGO2",0.575,0.674689658760098,0.986093867762932,0,0,0
"36","NNMT",0.825,0.861073201024537,0.994136645962733,0.043937538273117,0,0
"37","CAV2",0.85,0.911975860317057,0.995434319984523,0.807256582976118,0,0
"38","COL1A2",0.45,0.36291058739318,0.976908023483365,0,0,1
"39","KRT7",0.5875,0.416526436543645,0.986413356361542,0,0,0
"40","IFI27",0.1,0.0613826998018698,0.958377425044091,0.0240355174525413,0,1
"41","TSPAN8",0.15,0.0286318151565469,0.949642824009648,0,0,0
"42","VAMP8",0.4,0.163194320996342,0.981640257134667,0,0,0
"43","HSPA1A",0,0,0,0,1,0
"44","LCN2",0.4875,0.212580350851759,0.978165986394558,0,0,0
"45","CTHRC1",0.0875,0.0770667501355728,0.956861332372681,0,0,0
"46","S100A2",0.7625,0.740664369177435,0.994136645962733,0,0,0
"47","RAB25",0.4875,0.183088344158353,0.984499178981938,0.12109614206981,0,0
